lat_grid,lon_grid,crime_count,avg_lat,avg_lon,crime_types
41.78,-87.89,15,41.77955685316461,-87.88983442794718,"Motor Vehicle Theft, Theft, Narcotics, Battery, Burglary, Other Offense"
41.74,-87.53,14,41.73995072985301,-87.53028841363033,"Battery, Motor Vehicle Theft, Theft, Deceptive Practice, Robbery, Other Offense, Burglary"
41.82,-87.57000000000001,14,41.81913058963704,-87.57128827131353,"Motor Vehicle Theft, Burglary, Robbery, Narcotics, Other Offense, Theft, Assault, Battery"
41.88,-87.73,14,41.87877440537127,-87.73056408900767,"Motor Vehicle Theft, Theft, Criminal Damage, Narcotics, Burglary, Battery, Other Offense"
41.660000000000004,-87.59,13,41.659667456802694,-87.59108243825487,"Theft, Robbery, Assault, Battery, Criminal Damage, Burglary, Motor Vehicle Theft"
41.67,-87.73,13,41.66926628570251,-87.72984799607728,"Theft, Burglary, Assault, Robbery, Deceptive Practice, Criminal Damage, Battery"
41.69,-87.61,13,41.69002011618147,-87.60993082094006,"Criminal Damage, Battery, Theft, Deceptive Practice"
41.75,-87.77,13,41.751391147168064,-87.76904283037409,"Robbery, Burglary, Motor Vehicle Theft, Theft, Battery, Assault, Criminal Damage"
41.81,-87.67,13,41.808239671894924,-87.66927424312748,"Burglary, Battery, Theft, Criminal Damage"
41.81,-87.57000000000001,13,41.80963183759855,-87.57041676581335,"Theft, Narcotics, Motor Vehicle Theft, Assault, Battery, Other Offense, Deceptive Practice"
41.94,-87.81,13,41.93917134528264,-87.8100408931098,"Theft, Motor Vehicle Theft, Burglary, Assault, Battery, Criminal Damage"
41.94,-87.60000000000001,13,41.93925972638079,-87.60123551981667,"Battery, Theft, Assault, Narcotics, Robbery"
41.97,-87.93,13,41.96799498059751,-87.92963453621424,"Theft, Burglary, Other Offense, Narcotics, Battery, Deceptive Practice"
41.980000000000004,-87.7,13,41.98027162717226,-87.70053160377384,"Criminal Damage, Theft, Battery, Deceptive Practice, Motor Vehicle Theft, Robbery, Assault, Burglary, Other Offense"
42.01,-87.85000000000001,13,42.01063487641191,-87.85108154848002,"Battery, Criminal Damage, Theft, Assault, Burglary, Deceptive Practice"
42.01,-87.74,13,42.01035040578984,-87.74044230114991,"Battery, Motor Vehicle Theft, Robbery, Theft, Deceptive Practice, Burglary"
41.65,-87.75,12,41.65088507913208,-87.74959380841814,"Battery, Criminal Damage, Theft, Assault, Robbery"
41.660000000000004,-87.81,12,41.66034970567135,-87.81018871599225,"Battery, Theft, Criminal Damage, Burglary, Robbery, Assault"
41.660000000000004,-87.78,12,41.66041511709414,-87.78095864920994,"Battery, Theft, Criminal Damage, Burglary, Robbery, Motor Vehicle Theft"
41.67,-87.89,12,41.67059776757223,-87.88967854249059,"Theft, Motor Vehicle Theft, Criminal Damage, Battery, Narcotics, Other Offense"
41.69,-87.68,12,41.690751471327,-87.68007234957417,"Battery, Motor Vehicle Theft, Criminal Damage, Burglary, Assault, Theft, Robbery"
41.7,-87.66,12,41.69936550530256,-87.6605705317331,"Robbery, Theft, Criminal Damage, Battery, Assault"
41.71,-87.88,12,41.71056650017931,-87.87859943518531,"Narcotics, Theft, Robbery, Motor Vehicle Theft, Criminal Damage, Battery, Burglary"
41.71,-87.61,12,41.71035331484008,-87.60847684231354,"Theft, Motor Vehicle Theft, Criminal Damage, Battery, Burglary, Assault"
41.72,-87.57000000000001,12,41.72144362030784,-87.57048975135665,"Theft, Criminal Damage, Battery, Robbery"
41.74,-87.56,12,41.73983388656479,-87.56105462580919,"Theft, Robbery, Assault, Burglary, Battery"
41.75,-87.9,12,41.749196039956296,-87.9003766057,"Battery, Theft, Burglary, Criminal Damage, Deceptive Practice, Narcotics"
41.77,-87.67,12,41.76967371559819,-87.67064378570066,"Assault, Narcotics, Other Offense, Battery, Motor Vehicle Theft, Theft, Criminal Damage"
41.78,-87.69,12,41.78119926788651,-87.68977013890398,"Deceptive Practice, Theft, Assault, Burglary, Battery"
41.84,-87.76,12,41.839875910004295,-87.76050321313785,"Battery, Other Offense, Theft, Deceptive Practice, Burglary, Motor Vehicle Theft"
41.86,-87.92,12,41.86112377433106,-87.91922783415416,"Theft, Narcotics, Deceptive Practice, Other Offense, Assault, Battery, Criminal Damage, Burglary"
41.87,-87.63,12,41.869916064965466,-87.63030164786498,"Battery, Burglary, Criminal Damage, Robbery, Assault, Narcotics"
41.88,-87.88,12,41.880706983804316,-87.87881236856803,"Battery, Theft, Robbery, Narcotics, Criminal Damage, Burglary, Other Offense"
41.88,-87.55,12,41.87926957715458,-87.54982928996556,"Assault, Battery, Burglary, Theft, Criminal Damage"
41.9,-87.66,12,41.89906918448823,-87.66000565373687,"Theft, Battery, Motor Vehicle Theft, Criminal Damage, Other Offense, Robbery"
41.910000000000004,-87.7,12,41.90959804218379,-87.69999763378989,"Motor Vehicle Theft, Battery, Robbery, Theft, Assault, Other Offense"
41.92,-87.84,12,41.918296514232644,-87.84018490737304,"Theft, Motor Vehicle Theft, Criminal Damage, Other Offense, Burglary, Assault"
41.95,-87.61,12,41.94977158083775,-87.61148670419934,"Criminal Damage, Theft, Assault, Motor Vehicle Theft, Battery, Burglary"
41.97,-87.69,12,41.96897136804764,-87.68964006590191,"Assault, Robbery, Battery, Other Offense, Theft, Criminal Damage, Burglary, Deceptive Practice"
41.99,-87.92,12,41.98780440510134,-87.91968861715286,"Battery, Other Offense, Burglary, Assault, Theft, Criminal Damage"
42,-87.88,12,42.0004119814847,-87.88070994423936,"Assault, Criminal Damage, Theft, Robbery, Battery"
42.01,-87.71000000000001,12,42.01060365841763,-87.70986237329082,"Theft, Narcotics, Battery, Other Offense, Deceptive Practice, Motor Vehicle Theft"
41.65,-87.76,11,41.65021981930148,-87.76074448103466,"Burglary, Theft, Assault, Motor Vehicle Theft, Battery, Robbery"
41.65,-87.66,11,41.64954475394577,-87.65966563716827,"Battery, Theft, Assault, Robbery, Criminal Damage"
41.65,-87.63,11,41.649974781724794,-87.63040554416662,"Theft, Motor Vehicle Theft, Battery, Assault, Burglary"
41.67,-87.86,11,41.66962410614699,-87.8605514018843,"Criminal Damage, Motor Vehicle Theft, Deceptive Practice, Theft, Battery, Robbery, Burglary, Narcotics, Assault"
41.67,-87.8,11,41.671440282348456,-87.79812761705453,"Assault, Theft, Motor Vehicle Theft, Burglary, Robbery, Battery"
41.68,-87.9,11,41.682058698987085,-87.8989851290411,"Motor Vehicle Theft, Robbery, Assault, Criminal Damage, Theft, Battery, Burglary"
41.69,-87.93,11,41.6899537261948,-87.93030356556389,"Deceptive Practice, Theft, Narcotics, Assault, Other Offense, Robbery, Battery"
41.69,-87.92,11,41.68960474053779,-87.91943349293095,"Criminal Damage, Battery, Theft, Robbery, Motor Vehicle Theft"
41.7,-87.76,11,41.7003370098558,-87.75884698610584,"Burglary, Deceptive Practice, Robbery, Criminal Damage, Assault, Other Offense, Theft, Motor Vehicle Theft"
41.72,-87.62,11,41.72142535036472,-87.62027633344796,"Criminal Damage, Theft, Assault, Battery, Robbery"
41.74,-87.62,11,41.74105001394637,-87.62125409028747,"Battery, Other Offense, Robbery, Assault, Theft, Burglary, Deceptive Practice"
41.75,-87.8,11,41.74870261034336,-87.79971617950888,"Robbery, Battery, Theft, Burglary, Other Offense, Assault, Motor Vehicle Theft, Criminal Damage"
41.76,-87.63,11,41.760586280699144,-87.6292730118148,"Theft, Deceptive Practice, Battery, Narcotics, Robbery, Motor Vehicle Theft"
41.76,-87.59,11,41.76041214418217,-87.58956580605147,"Narcotics, Criminal Damage, Battery, Deceptive Practice, Theft, Robbery, Other Offense"
41.77,-87.92,11,41.76974299981978,-87.92023846742443,"Assault, Deceptive Practice, Other Offense, Theft, Battery, Criminal Damage, Motor Vehicle Theft"
41.78,-87.72,11,41.780744099343536,-87.72005252266048,"Motor Vehicle Theft, Theft, Robbery, Assault, Criminal Damage, Deceptive Practice, Battery"
41.79,-87.72,11,41.79102441357745,-87.7182393964397,"Assault, Criminal Damage, Burglary, Narcotics, Battery, Motor Vehicle Theft"
41.800000000000004,-87.93,11,41.800406483358024,-87.92972573274704,"Burglary, Battery, Theft, Assault"
41.800000000000004,-87.9,11,41.800836890287364,-87.90027291671966,"Other Offense, Motor Vehicle Theft, Assault, Theft, Deceptive Practice, Robbery, Battery"
41.800000000000004,-87.68,11,41.801142820470375,-87.67920929025561,"Assault, Motor Vehicle Theft, Robbery, Deceptive Practice, Criminal Damage, Burglary, Battery"
41.800000000000004,-87.60000000000001,11,41.799340838118965,-87.60032840421762,"Robbery, Battery, Theft, Assault, Criminal Damage"
41.81,-87.71000000000001,11,41.8092535999612,-87.7101140465909,"Theft, Assault, Motor Vehicle Theft, Narcotics, Burglary, Battery, Criminal Damage"
41.82,-87.85000000000001,11,41.81933906862639,-87.85092626446011,"Deceptive Practice, Burglary, Assault, Theft, Robbery, Motor Vehicle Theft"
41.82,-87.81,11,41.82066113676961,-87.8110747747212,"Other Offense, Theft, Narcotics, Robbery, Battery, Motor Vehicle Theft, Burglary, Assault"
41.82,-87.77,11,41.82060454907446,-87.7704665012975,"Battery, Burglary, Theft, Motor Vehicle Theft, Assault, Narcotics, Criminal Damage"
41.82,-87.71000000000001,11,41.81980539808304,-87.70999682831662,"Criminal Damage, Theft, Robbery, Battery, Other Offense"
41.85,-87.93,11,41.84965384231034,-87.93089423148977,"Criminal Damage, Battery, Assault, Other Offense, Theft, Burglary, Robbery"
41.87,-87.78,11,41.87019836467987,-87.77881973502268,"Theft, Robbery, Deceptive Practice, Narcotics, Burglary, Motor Vehicle Theft, Battery, Criminal Damage"
41.910000000000004,-87.71000000000001,11,41.91115201579957,-87.71117892281491,"Narcotics, Criminal Damage, Battery, Burglary, Theft, Deceptive Practice, Robbery"
41.92,-87.85000000000001,11,41.91938347072087,-87.85102975585286,"Assault, Theft, Battery, Robbery, Motor Vehicle Theft, Other Offense"
41.92,-87.79,11,41.91941085562999,-87.78840979641473,"Robbery, Theft, Assault, Motor Vehicle Theft, Battery"
41.93,-87.74,11,41.93055985384832,-87.74015783398328,"Narcotics, Deceptive Practice, Theft, Criminal Damage, Battery, Robbery"
41.96,-87.71000000000001,11,41.960459758920855,-87.70862208617893,"Criminal Damage, Burglary, Theft, Battery, Assault, Deceptive Practice"
41.97,-87.72,11,41.969281553014355,-87.72015370225321,"Motor Vehicle Theft, Deceptive Practice, Criminal Damage, Theft, Assault, Battery, Robbery"
41.97,-87.64,11,41.96961440419651,-87.64014215283096,"Burglary, Robbery, Battery, Theft, Criminal Damage, Motor Vehicle Theft, Other Offense"
41.97,-87.56,11,41.97048636941282,-87.55802884042897,"Motor Vehicle Theft, Assault, Other Offense, Battery, Theft"
41.980000000000004,-87.84,11,41.97893595434387,-87.83942615147045,"Battery, Theft, Assault, Motor Vehicle Theft, Burglary, Narcotics, Other Offense, Deceptive Practice"
41.980000000000004,-87.81,11,41.980472541291014,-87.81117276691239,"Criminal Damage, Theft, Motor Vehicle Theft, Assault, Other Offense"
41.980000000000004,-87.64,11,41.98087186001834,-87.64123404622627,"Burglary, Other Offense, Criminal Damage, Battery, Theft, Assault, Deceptive Practice"
